0,141,126,90,11
1,115,72,80,10
2,347,380,50,21
3,217,17,75,4
4,16,48,75,15
5,112,120,100,17
6,259,309,100,8
7,333,360,75,37
8,280,215,80,41
9,113,230,60,17
10,302,143,60,13
11,415,446,80,3
12,358,217,60,49
13,175,143,75,28
14,80,111,100,49
15,491,391,65,19
16,173,53,60,46
17,48,195,55,26
18,50,184,50,32
19,310,136,65,14
20,374,236,85,24
21,275,64,70,16
22,499,473,65,3
23,194,41,100,14
24,283,151,80,23
25,425,322,70,6
26,317,454,70,24
27,296,99,100,34
28,149,41,80,45
29,195,143,90,23
30,233,326,50,9
31,84,190,70,13
32,182,108,95,18
33,344,137,50,8
34,360,480,95,29
35,350,332,75,48
36,274,374,75,29
37,126,84,95,34
38,237,195,55,26
39,328,353,95,14
40,286,113,70,4
41,351,167,80,2
42,432,394,90,36
43,162,206,100,48
44,138,34,100,14
45,483,291,75,29
46,449,368,55,44
47,162,109,75,41
48,336,256,75,44
49,469,330,55,48
50,235,74,70,34
51,136,72,70,44
52,288,276,80,22
53,300,220,80,46
54,460,299,70,37
55,205,186,60,14
56,113,71,80,44
57,261,253,80,45
58,57,79,60,41
59,406,349,95,21
60,217,306,80,37
61,33,198,50,21
62,196,306,70,15
63,240,271,80,39
64,284,441,95,43
65,349,370,75,31
66,454,275,85,30
67,385,137,100,15
68,394,329,90,32
69,175,58,60,44
70,151,223,55,20
71,81,233,90,44
72,370,449,100,41
73,321,153,75,7
74,431,328,65,45
75,260,312,70,16
76,102,79,65,11
77,192,391,50,4
78,83,277,65,32
79,489,399,95,6
80,307,166,85,28
81,426,414,100,38
82,158,123,65,47
83,30,124,80,33
84,450,291,80,17
85,249,418,60,43
86,273,393,50,50
87,65,66,55,29
88,338,244,65,13
89,485,282,90,31
90,85,136,50,37
91,271,447,65,9
92,311,217,85,10
93,476,277,85,44
94,387,374,90,37
95,366,160,95,22
96,205,344,85,41
97,333,192,90,29
98,225,461,90,30
99,265,232,60,49
100,62,127,85,30
101,116,33,70,50
102,174,11,65,42
103,302,284,70,35
104,118,302,85,42
105,113,4,65,19
106,118,35,85,6
107,122,143,70,17
108,343,249,70,23
109,110,277,75,36
110,479,452,55,10
111,293,296,60,16
112,243,125,80,46
113,402,243,60,47
114,414,209,65,6
115,98,49,80,28
116,221,182,75,36
117,217,211,85,28
118,240,443,50,15
119,345,335,80,26
120,32,207,95,46
121,373,174,50,50
122,410,442,95,26
123,56,128,85,2
124,99,98,75,21
125,275,230,80,28
126,72,217,90,49
127,94,143,90,40
128,237,128,65,33
129,448,473,65,19
130,39,227,80,33
131,414,442,50,26
132,439,282,75,44
133,51,26,100,27
134,334,277,60,31
135,475,386,60,41
136,86,209,90,3
137,249,247,80,39
138,31,85,95,44
139,195,2,50,7
140,200,136,100,29
141,475,402,60,31
142,402,233,60,5
143,147,217,70,26
144,357,491,75,15
145,375,402,85,22
146,285,339,75,50
147,368,250,80,19
148,80,98,80,18
149,152,112,55,32
150,297,377,50,49
151,383,161,90,5
152,30,26,75,16
153,300,245,100,6
154,258,471,100,4
155,437,272,50,17
156,81,30,65,3
157,492,261,95,11
158,96,36,65,10
159,346,442,85,44
160,121,207,55,38
161,456,292,65,31
162,127,297,70,25
163,215,337,60,40
164,299,290,95,49
165,268,162,55,12
166,367,161,70,8
167,123,136,95,3
168,203,68,70,38
169,344,331,100,26
170,154,235,80,47
171,385,480,65,6
172,38,5,95,46
173,235,319,100,17
174,110,260,55,46
175,136,68,70,45
176,190,146,95,9
177,81,225,95,4
178,427,279,75,36
179,361,155,80,44
180,314,414,75,6
181,335,271,90,43
182,419,284,75,2
183,481,450,80,33
184,69,136,55,29
185,140,145,75,42
186,325,437,85,47
187,136,259,60,29
188,251,129,60,48
189,464,465,90,43
190,217,425,70,41
191,142,23,90,32
192,2,171,85,29
193,327,135,95,19
194,227,283,75,17
195,362,219,55,19
196,58,39,85,17
197,484,453,85,38
198,354,463,95,44
199,190,299,80,23
