412,,,,,,,
0,1,3,1.6,2,100,2.2,83
1,1,4,2.2,2,100,1.9,85
2,1,5,2.7,9,120,2.3,42
3,1,9,3.3,0,105,1.2,53
4,1,11,3.5,2,150,1.2,36
5,1,14,2.7,9,145,2.3,100
6,1,21,2.6,7,145,2.1,46
7,2,4,3.4,1,120,1.2,41
8,2,8,2.2,6,105,2.3,97
9,2,10,2.4,8,105,2.4,37
10,2,28,2.4,1,120,1.7,42
11,2,30,2.6,8,115,2.3,89
12,3,4,1.9,0,105,1.8,73
13,3,10,3.0,10,140,2.2,11
14,3,14,2.5,9,120,2.4,54
15,4,8,2.7,5,120,1.9,67
16,4,9,2.7,9,125,2.3,16
17,4,15,2.7,7,140,2.1,93
18,4,16,2.8,7,110,2.1,78
19,5,8,2.0,4,115,2.2,0
20,5,10,1.7,7,150,2.5,15
21,5,22,3.0,3,145,1.5,53
22,5,31,2.3,5,125,2.1,71
23,5,43,3.1,3,100,1.6,81
24,6,12,1.9,4,120,2.2,8
25,6,13,2.1,8,140,2.4,41
26,6,15,3.0,1,150,1.3,42
27,6,23,2.2,9,145,2.5,3
28,6,26,3.2,3,125,1.5,43
29,7,9,3.3,7,135,1.8,4
30,7,12,2.8,7,110,2.1,80
31,7,14,2.4,8,125,2.4,59
32,7,18,3.1,6,100,1.9,66
33,7,27,2.1,10,125,2.7,71
34,8,10,2.6,3,145,1.7,87
35,8,15,2.2,5,105,2.2,19
36,8,16,2.1,0,125,1.7,48
37,8,18,2.8,2,145,1.5,77
38,8,20,2.3,9,105,2.6,100
39,8,21,3.0,5,100,1.9,34
40,9,14,2.3,7,115,2.3,47
41,9,18,2.4,4,115,2.0,67
42,9,21,2.1,1,125,1.8,100
43,10,14,1.6,3,105,2.3,56
44,10,20,2.5,7,140,2.2,19
45,10,38,1.9,7,140,2.4,39
46,11,12,3.1,2,105,1.5,66
47,11,14,2.9,2,115,1.6,92
48,11,23,1.6,6,140,2.4,14
49,11,33,1.5,0,150,1.9,76
50,12,13,3.2,5,135,1.7,5
51,12,15,1.7,10,120,2.9,2
52,12,16,2.7,4,150,1.7,26
53,12,17,2.1,3,120,2.0,35
54,12,18,2.6,7,150,2.1,15
55,12,25,2.0,2,120,1.9,14
56,12,28,1.5,9,140,2.8,65
57,13,17,1.7,8,125,2.7,70
58,13,21,2.1,2,120,1.9,73
59,13,25,2.0,1,120,1.8,78
60,13,31,3.3,8,135,1.9,6
61,14,16,1.8,7,150,2.4,6
62,14,24,1.7,0,105,1.9,54
63,15,18,2.3,9,145,2.4,80
64,16,21,3.2,7,145,1.8,45
65,16,25,2.1,3,150,1.9,68
66,16,28,1.7,7,145,2.5,16
67,16,29,1.7,7,105,2.6,58
68,16,38,2.1,10,135,2.7,60
69,16,45,2.0,3,110,2.1,78
70,17,18,2.0,5,130,2.2,23
71,17,19,2.9,10,125,2.3,100
72,17,31,3.2,5,135,1.7,62
73,18,24,1.6,7,105,2.7,44
74,18,25,2.5,2,120,1.7,98
75,18,26,2.2,9,110,2.6,65
76,18,28,1.7,1,125,2.0,71
77,18,34,2.8,4,140,1.7,59
78,19,21,2.3,6,115,2.2,79
79,19,26,2.0,2,135,1.9,49
80,19,33,1.6,3,145,2.1,55
81,19,48,3.1,6,145,1.8,100
82,20,23,2.2,3,110,2.0,84
83,20,32,2.8,9,135,2.2,14
84,20,46,2.7,7,125,2.1,71
85,20,49,1.7,7,110,2.6,39
86,21,23,3.4,1,145,1.2,13
87,21,27,2.9,9,130,2.2,41
88,21,34,2.5,10,100,2.6,11
89,21,37,1.9,2,145,1.9,96
90,21,39,2.8,0,110,1.4,84
91,22,23,1.8,8,120,2.6,49
92,22,26,2.7,7,115,2.2,26
93,22,28,2.9,5,120,1.9,72
94,22,31,3.1,10,120,2.3,55
95,22,32,2.9,5,105,1.9,74
96,23,24,1.5,8,130,2.7,16
97,23,33,3.2,0,125,1.2,70
98,23,38,3.4,0,140,1.1,45
